Rk,Player,Age,Pos,Tm,,Opp,,Date,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
212,Stephen Curry\curryst01,29-067,G,GSW,@,SAS,W,2017-05-20 *,1,34,8,15,.533,5,8,.625,3,7,.429,2,2,1.000,1,4,5,3,6,0,5,3,21,17.5,7.8
213,Dewayne Dedmon\dedmode01,27-281,C,SAS,,GSW,L,2017-05-20 *,0,7,2,3,.667,2,3,.667,0,0,,3,6,.500,3,1,4,0,1,0,1,1,7,6.5,9.1
214,Kevin Durant\duranke01,28-233,F-G,GSW,@,SAS,W,2017-05-20 *,1,38,11,19,.579,8,14,.571,3,5,.600,8,10,.800,0,10,10,4,2,1,7,3,33,23.6,6.1
215,Bryn Forbes\forbebr01,23-301,G,SAS,,GSW,L,2017-05-20 *,0,5,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-1.0,-14.0
216,Pau Gasol\gasolpa01,36-318,C-F,SAS,,GSW,L,2017-05-20 *,0,21,6,11,.545,6,10,.600,0,1,.000,0,0,,4,6,10,1,0,0,2,3,12,8.8,-1.7
217,Manu Ginóbili\ginobma01,39-296,G,SAS,,GSW,L,2017-05-20 *,0,18,7,9,.778,5,6,.833,2,3,.667,5,8,.625,0,1,1,2,1,0,0,3,21,17.8,22.7
218,Danny Green\greenda02,29-332,G-F,SAS,,GSW,L,2017-05-20 *,1,33,3,11,.273,2,6,.333,1,5,.200,0,0,,2,6,8,2,1,0,4,3,7,0.9,-9.4
219,Draymond Green\greendr01,27-077,F,GSW,@,SAS,W,2017-05-20 *,1,34,4,6,.667,4,6,.667,0,0,,2,3,.667,2,5,7,7,1,2,3,5,10,12.2,5.7
220,Andre Iguodala\iguodan01,33-112,G-F,GSW,@,SAS,W,2017-05-20 *,0,19,1,4,.250,1,1,1.000,0,3,.000,0,0,,0,2,2,1,0,0,0,2,2,0.1,-8.6
221,David Lee\leeda02,34-021,F,SAS,,GSW,L,2017-05-20 *,0,2,2,3,.667,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,2.3,12.0
222,Shaun Livingston\livinsh01,31-251,G,GSW,@,SAS,W,2017-05-20 *,0,15,1,2,.500,1,2,.500,0,0,,0,0,,2,1,3,1,0,0,2,1,2,1.0,-5.8
223,James Michael McAdoo\mcadoja01,24-136,F,GSW,@,SAS,W,2017-05-20 *,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,13.6
224,Patrick McCaw\mccawpa01,21-207,G,GSW,@,SAS,W,2017-05-20 *,0,11,3,5,.600,3,4,.750,0,1,.000,0,0,,1,1,2,0,2,0,0,0,6,6.7,10.5
225,JaVale McGee\mcgeeja01,29-121,C,GSW,@,SAS,W,2017-05-20 *,1,13,6,9,.667,6,9,.667,0,0,,4,6,.667,1,0,1,0,0,1,1,1,16,11.3,4.8
226,Patty Mills\millspa02,28-282,G,SAS,,GSW,L,2017-05-20 *,1,33,2,10,.200,1,6,.167,1,4,.250,2,2,1.000,0,1,1,6,2,0,1,1,7,5.9,-2.9
227,Dejounte Murray\murrade01,20-243,G,SAS,,GSW,L,2017-05-20 *,0,18,4,6,.667,4,6,.667,0,0,,2,4,.500,0,2,2,0,2,0,2,0,10,7.2,2.8
228,Jonathon Simmons\simmojo02,27-248,G-F,SAS,,GSW,L,2017-05-20 *,1,34,7,17,.412,7,13,.538,0,4,.000,0,0,,0,1,1,5,1,0,1,3,14,7.5,-3.1
229,Klay Thompson\thompkl01,27-101,G-F,GSW,@,SAS,W,2017-05-20 *,1,36,7,15,.467,4,9,.444,3,6,.500,0,0,,1,5,6,2,0,0,0,2,17,12.1,0.3
230,David West\westda01,36-264,F-C,GSW,@,SAS,W,2017-05-20 *,0,18,2,3,.667,1,2,.500,1,1,1.000,1,1,1.000,0,4,4,5,0,1,2,4,6,6.5,8.2
231,Avery Bradley\bradlav01,26-174,G,BOS,,CLE,L,2017-05-19 *,1,32,6,17,.353,5,12,.417,1,5,.200,0,0,,2,1,3,0,0,0,0,3,13,4.0,-9.8
